config,dtype,n_row,n_col,b_acc,source,t_decode,t_bitline,t_senseamp,t_mux,t_total,e_bitline,e_periph,e_total
reram_16nm,memristor,1024,1024,64,model,356.3034,18679.8210,300.0000,50.0000,19386.1244,43346.6617,32853.0000,76199.6617
reram_16nm,memristor,2048,1024,64,destiny,503.2720,257.0420,1454.0000,48.4300,2263.0750,19.0000,10249.0000,10268.0000
reram_16nm,memristor,2048,1024,64,model,376.3034,48640.5521,300.0000,50.0000,49366.8555,81977.6292,32853.0000,114830.6292
pcram_16nm,PCRAM,256,256,64,destiny,117.6340,81.8750,2.6560,1.5080,213.8420,1026.0000,406.0000,1432.0000
pcram_16nm,PCRAM,256,256,64,model,177.4490,727.8668,2000.0000,7.0000,2912.3158,1950.7200,277.0000,2227.7200
pcram_16nm,PCRAM,512,256,64,destiny,125.0780,148.7170,2.6560,1.5080,288.1800,1997.0000,406.0000,2403.0000
pcram_16nm,PCRAM,512,256,64,model,197.4490,1428.7105,2000.0000,7.0000,3633.1595,3261.4400,277.0000,3538.4400
pcram_16nm,PCRAM,1024,256,64,destiny,128.6780,287.0680,2.6560,1.5080,430.1960,3939.0000,406.0000,4345.0000
pcram_16nm,PCRAM,1024,256,64,model,217.4490,2849.6766,2000.0000,7.0000,5074.1256,5882.8800,277.0000,6159.8800
pcram_16nm,PCRAM,1024,1024,64,destiny,245.8480,321.3310,2.6560,4.9290,715.7650,15719.0000,1338.0000,17057.0000
pcram_16nm,PCRAM,1024,1024,64,model,356.3034,3111.9372,2000.0000,7.0000,5475.2406,23531.5200,853.0000,24384.5200
fefet_16nm,SRAM,256,256,64,destiny,110.4930,52.9980,2.6560,6.4960,172.6420,586.0000,240.0000,826.0000
fefet_16nm,SRAM,256,256,64,model,177.4490,119.5335,50.0000,7.0000,353.9825,1950.7200,277.0000,2227.7200
fefet_16nm,SRAM,512,256,64,destiny,118.6700,84.2220,2.6560,6.4960,212.0430,1167.0000,240.0000,1407.0000
fefet_16nm,SRAM,512,256,64,model,197.4490,218.0024,50.0000,7.0000,472.4514,3261.4400,277.0000,3538.4400
fefet_16nm,SRAM,512,1024,64,destiny,186.0270,137.9610,2.6560,13.7350,340.3800,4668.0000,741.0000,5409.0000
fefet_16nm,SRAM,512,1024,64,model,336.3034,388.2862,50.0000,7.0000,781.5895,13045.7600,853.0000,13898.7600
fefet_16nm,SRAM,1024,1024,64,destiny,189.7500,209.6200,2.6560,13.7350,415.7610,9314.0000,741.0000,10055.0000
fefet_16nm,SRAM,1024,1024,64,model,356.3034,638.4590,50.0000,7.0000,1051.7624,23531.5200,853.0000,24384.5200
fefet_16nm,SRAM,2048,1024,64,destiny,197.1360,342.0970,2.6560,13.7350,555.6240,18606.0000,741.0000,19347.0000
fefet_16nm,SRAM,2048,1024,64,model,376.3034,1174.3199,50.0000,7.0000,1607.6233,44503.0400,853.0000,45356.0400
