
########## harmonic sweep :: nvm_100Mb ##########
   n       R  feas  bind    BW/SA   cap[bit]      N_SA  L_dsn  fits     BW_raw  pdens/Pmax  BW_thermal
  19    SA   2.89e+12    2.89e+13    2.80e+14    2.80e+14    2.80e+14    2.80e+14    2.80e+14 
  20    SA   2.89e+12    2.89e+13    2.89e+14    2.94e+14    2.94e+14    2.94e+14    2.94e+14 
  21    SA   2.89e+12    2.89e+13    2.89e+14    3.08e+14    3.08e+14    3.08e+14    3.08e+14 
  22    SA   2.89e+12    2.89e+13    2.89e+14    3.22e+14    3.22e+14    3.22e+14    3.22e+14 
  23    SA   2.89e+12    2.89e+13    2.89e+14    3.36e+14    3.36e+14    3.36e+14    3.36e+14 
  24    SA   2.89e+12    2.89e+13    2.89e+14    3.50e+14    3.50e+14    3.50e+14    3.50e+14 
  25    SA   2.89e+12    2.89e+13    2.89e+14    3.64e+14    3.64e+14    3.64e+14    3.64e+14 
  26    SA   2.89e+12    2.89e+13    2.89e+14    3.78e+14    3.78e+14    3.78e+14    3.78e+14 
  27    SA   2.89e+12    2.89e+13    2.89e+14    3.92e+14    3.92e+14    3.92e+14    3.92e+14 
  28    SA   2.89e+12    2.89e+13    2.89e+14    4.06e+14    4.06e+14    4.06e+14    4.06e+14 
  29    SA   2.89e+12    2.89e+13    2.89e+14    4.20e+14    4.20e+14    4.20e+14    4.20e+14 
  30    SA   2.89e+12    2.89e+13    2.89e+14    4.34e+14    4.34e+14    4.34e+14    4.34e+14 
  31    SA   2.89e+12    2.89e+13    2.89e+14*   4.48e+14    4.48e+14    4.48e+14    4.48e+14 
  32    SA   2.89e+12    2.89e+13    2.89e+14    4.62e+14    4.62e+14    4.62e+14    4.62e+14 
  33    SA   2.89e+12    2.89e+13    2.89e+14    4.76e+14    4.76e+14    4.76e+14    4.76e+14 
  34    SA   2.89e+12    2.89e+13    2.89e+14    4.90e+14    4.90e+14    4.90e+14    4.90e+14 
  35    SA   2.89e+12    2.89e+13    2.89e+14    5.04e+14    5.04e+14    5.04e+14    5.04e+14 
  36    SA   2.89e+12    2.89e+13    2.89e+14    5.18e+14    5.18e+14    5.18e+14    5.18e+14 
  37    SA   2.89e+12    2.89e+13    2.89e+14    5.32e+14    5.32e+14    5.32e+14    5.32e+14 
  38    SA   2.89e+12    2.89e+13    2.89e+14    5.46e+14    5.46e+14    5.46e+14    5.46e+14 
  39    SA   2.89e+12    2.89e+13    2.89e+14    5.60e+14    5.60e+14    5.60e+14    5.60e+14 
  40    SA   2.89e+12    2.89e+13    2.89e+14    5.74e+14    5.74e+14    5.74e+14    5.74e+14 
  41    SA   2.89e+12    2.89e+13    2.89e+14    5.88e+14    5.88e+14    5.88e+14    5.88e+14 
  42    SA   2.89e+12    2.89e+13    2.89e+14    6.02e+14    6.02e+14    6.02e+14    6.02e+14 
  43    SA   2.89e+12    2.89e+13    2.89e+14    6.16e+14    6.16e+14    6.16e+14    6.16e+14 
  44    SA   2.89e+12    2.89e+13    2.89e+14    6.30e+14    6.30e+14    6.30e+14    6.30e+14 
  45    SA   2.89e+12    2.89e+13    2.89e+14    6.44e+14    6.44e+14    6.44e+14    6.44e+14 
  46    SA   2.89e+12    2.89e+13    2.89e+14    6.58e+14    6.58e+14    6.58e+14    6.58e+14 
  47    SA   2.89e+12    2.89e+13    2.89e+14    6.72e+14    6.72e+14    6.72e+14    6.72e+14 
  48    SA   2.89e+12    2.89e+13    2.89e+14    6.86e+14    6.86e+14    6.86e+14    6.86e+14 
  49    SA   2.89e+12    2.89e+13    2.89e+14    7.00e+14    7.00e+14    7.00e+14    7.00e+14 
  50    SA   2.89e+12    2.89e+13    2.89e+14    7.14e+14    7.14e+14    7.14e+14    7.14e+14 
  51    SA   2.89e+12    2.89e+13    2.89e+14    7.28e+14    7.28e+14    7.28e+14    7.28e+14 
  52    SA   2.89e+12    2.89e+13    2.89e+14    7.42e+14    7.42e+14    7.42e+14    7.42e+14 
  53    SA   2.89e+12    2.89e+13    2.89e+14    7.56e+14    7.56e+14    7.56e+14    7.56e+14 
  54    SA   2.89e+12    2.89e+13    2.89e+14    7.70e+14    7.70e+14    7.70e+14    7.70e+14 
  55    SA   2.89e+12    2.89e+13    2.89e+14    7.84e+14    7.84e+14    7.84e+14    7.84e+14 
  56    SA   2.89e+12    2.89e+13    2.89e+14    7.98e+14    7.98e+14    7.98e+14    7.98e+14 
  57    SA   2.89e+12    2.89e+13    2.89e+14    8.12e+14    8.12e+14    8.12e+14    8.12e+14 
  58    SA   2.89e+12    2.89e+13    2.89e+14    8.26e+14    8.26e+14    8.26e+14    8.26e+14 
  59    SA   2.89e+12    2.89e+13    2.89e+14    8.40e+14    8.40e+14    8.40e+14    8.40e+14 
  60    SA   2.89e+12    2.89e+13    2.89e+14    8.54e+14    8.54e+14    8.54e+14    8.54e+14 
  61    SA   2.89e+12    2.89e+13    2.89e+14    8.68e+14    8.68e+14    8.68e+14    8.68e+14 
  62    SA   2.89e+12    2.89e+13    2.89e+14    8.82e+14    8.82e+14    8.82e+14    8.82e+14 
  63    SA   2.89e+12    2.89e+13    2.89e+14    8.96e+14    8.96e+14    8.96e+14    8.96e+14 
  64    SA   2.89e+12    2.89e+13    2.89e+14    9.10e+14    9.10e+14    9.10e+14    9.10e+14 
  65    SA   2.89e+12    2.89e+13    2.89e+14    9.24e+14    9.24e+14    9.24e+14    9.24e+14 
  66    SA   2.89e+12    2.89e+13    2.89e+14    9.38e+14    9.38e+14    9.38e+14    9.38e+14 
  67    SA   2.89e+12    2.89e+13    2.89e+14    9.52e+14    9.52e+14    9.52e+14    9.52e+14 
  68    SA   2.89e+12    2.89e+13    2.89e+14    9.65e+14    9.65e+14    9.65e+14    9.65e+14 
  69    SA   2.89e+12    2.89e+13    2.89e+14    9.79e+14    9.79e+14    9.79e+14    9.79e+14 
  70    SA   2.89e+12    2.89e+13    2.89e+14    9.93e+14    9.93e+14    9.93e+14    9.93e+14 
  71    SA   2.89e+12    2.89e+13    2.89e+14    1.01e+15    1.01e+15    1.01e+15    1.01e+15 
  72    SA   2.89e+12    2.89e+13    2.89e+14    1.02e+15    1.02e+15    1.02e+15    1.02e+15 
  73    SA   2.89e+12    2.89e+13    2.89e+14    1.04e+15    1.04e+15    1.04e+15    1.04e+15 
  74    SA   2.89e+12    2.89e+13    2.89e+14    1.05e+15    1.05e+15    1.05e+15    1.05e+15 
  75    SA   2.89e+12    2.89e+13    2.89e+14    1.06e+15    1.06e+15    1.06e+15    1.06e+15 
  76    SA   2.89e+12    2.89e+13    2.89e+14    1.08e+15    1.08e+15    1.08e+15    1.08e+15 
  77    SA   2.89e+12    2.89e+13    2.89e+14    1.09e+15    1.09e+15    1.09e+15    1.09e+15 
  78    SA   2.89e+12    2.89e+13    2.89e+14    1.11e+15    1.11e+15    1.11e+15    1.11e+15 
  79    SA   2.89e+12    2.89e+13    2.89e+14    1.12e+15    1.12e+15    1.12e+15    1.12e+15 
  80    SA   2.89e+12    2.89e+13    2.89e+14    1.13e+15    1.13e+15    1.13e+15    1.13e+15 
  81    SA   2.89e+12    2.89e+13    2.89e+14    1.15e+15    1.15e+15    1.15e+15    1.15e+15 
  82    SA   2.89e+12    2.89e+13    2.89e+14    1.16e+15    1.16e+15    1.16e+15    1.16e+15 
  83    SA   2.89e+12    2.89e+13    2.89e+14    1.18e+15    1.18e+15    1.18e+15    1.18e+15 
  84    SA   2.89e+12    2.89e+13    2.89e+14    1.19e+15    1.19e+15    1.19e+15    1.19e+15 
  85    SA   2.89e+12    2.89e+13    2.89e+14    1.20e+15    1.20e+15    1.20e+15    1.20e+15 
  86    SA   2.89e+12    2.89e+13    2.89e+14    1.22e+15    1.22e+15    1.22e+15    1.22e+15 
  87    SA   2.89e+12    2.89e+13    2.89e+14    1.23e+15    1.23e+15    1.23e+15    1.23e+15 
  88    SA   2.89e+12    2.89e+13    2.89e+14    1.25e+15    1.25e+15    1.25e+15    1.25e+15 
  89    SA   2.89e+12    2.89e+13    2.89e+14    1.26e+15    1.26e+15    1.26e+15    1.26e+15 
  90    SA   2.89e+12    2.89e+13    2.89e+14    1.27e+15    1.27e+15    1.27e+15    1.27e+15 
  91    SA   2.89e+12    2.89e+13    2.89e+14    1.29e+15    1.29e+15    1.29e+15    1.29e+15 
  92    SA   2.89e+12    2.89e+13    2.89e+14    1.30e+15    1.30e+15    1.30e+15    1.30e+15 
  93    SA   2.89e+12    2.89e+13    2.89e+14    1.32e+15    1.32e+15    1.32e+15    1.32e+15 
  94    SA   2.89e+12    2.89e+13    2.89e+14    1.33e+15    1.33e+15    1.33e+15    1.33e+15 
  95    SA   2.89e+12    2.89e+13    2.89e+14    1.34e+15    1.34e+15    1.34e+15    1.34e+15 
  96    SA   2.89e+12    2.89e+13    2.89e+14    1.36e+15    1.36e+15    1.36e+15    1.36e+15 
  97    SA   2.89e+12    2.89e+13    2.89e+14    1.37e+15    1.37e+15    1.37e+15    1.37e+15 
  98    SA   2.89e+12    2.89e+13    2.89e+14    1.39e+15    1.39e+15    1.39e+15    1.39e+15 
  99    SA   2.89e+12    2.89e+13    2.89e+14    1.40e+15    1.40e+15    1.40e+15    1.40e+15 
 100    SA   2.89e+12    2.89e+13    2.89e+14    1.41e+15    1.41e+15    1.41e+15    1.41e+15 
 101    SA   2.89e+12    2.89e+13    2.89e+14    1.43e+15    1.43e+15    1.43e+15    1.43e+15 
 102    SA   2.89e+12*   2.89e+13    2.89e+14    1.44e+15    1.44e+15    1.44e+15    1.44e+15 
 103    SA   2.89e+12    2.89e+13    2.89e+14    1.46e+15    1.46e+15    1.46e+15    1.46e+15 
 104    SA   2.89e+12    2.89e+13    2.89e+14    1.47e+15    1.47e+15    1.47e+15    1.47e+15 
 105    SA   2.89e+12    2.89e+13    2.89e+14    1.48e+15    1.48e+15    1.48e+15    1.48e+15 
 106    SA   2.89e+12    2.89e+13    2.89e+14    1.50e+15    1.50e+15    1.50e+15    1.50e+15 
 107    SA   2.89e+12    2.89e+13    2.89e+14    1.51e+15    1.51e+15    1.51e+15    1.51e+15 
 108    SA   2.89e+12    2.89e+13    2.89e+14    1.53e+15    1.53e+15    1.53e+15    1.53e+15 
 109    SA   2.89e+12    2.89e+13    2.89e+14    1.54e+15    1.54e+15    1.54e+15    1.54e+15 
 110    SA   2.89e+12    2.89e+13    2.89e+14    1.55e+15    1.55e+15    1.55e+15    1.55e+15 
 111    SA   2.89e+12    2.89e+13    2.89e+14    1.57e+15    1.57e+15    1.57e+15    1.57e+15 
 112    SA   2.89e+12    2.89e+13    2.89e+14    1.58e+15    1.58e+15    1.58e+15    1.58e+15 
 113    SA   2.89e+12    2.89e+13    2.89e+14    1.60e+15    1.60e+15    1.60e+15    1.60e+15 
 114    SA   2.89e+12    2.89e+13    2.89e+14    1.61e+15    1.61e+15    1.61e+15    1.61e+15 
 115    SA   2.89e+12    2.89e+13    2.89e+14    1.62e+15    1.62e+15    1.62e+15    1.62e+15 
 116    SA   2.89e+12    2.89e+13    2.89e+14    1.64e+15    1.64e+15    1.64e+15    1.64e+15 
 117    SA   2.89e+12    2.89e+13    2.89e+14    1.65e+15    1.65e+15    1.65e+15    1.65e+15 
 118    SA   2.89e+12    2.89e+13    2.89e+14    1.67e+15    1.67e+15    1.67e+15    1.67e+15 
 119    SA   2.89e+12    2.89e+13    2.89e+14    1.68e+15    1.68e+15    1.68e+15    1.68e+15 
 120    SA   2.89e+12    2.89e+13    2.89e+14    1.69e+15    1.69e+15    1.69e+15    1.69e+15 
 121    SA   2.89e+12    2.89e+13    2.89e+14    1.71e+15    1.71e+15    1.71e+15    1.71e+15 
 122    SA   2.89e+12    2.89e+13    2.89e+14    1.72e+15    1.72e+15    1.72e+15    1.72e+15 
 123    SA   2.89e+12    2.89e+13    2.89e+14    1.74e+15    1.74e+15    1.74e+15    1.74e+15 
 124    SA   2.89e+12    2.89e+13    2.89e+14    1.75e+15    1.75e+15    1.75e+15    1.75e+15 
 125    SA   2.89e+12    2.89e+13    2.89e+14    1.76e+15    1.76e+15    1.76e+15    1.76e+15 
 126    SA   2.89e+12    2.89e+13    2.89e+14    1.78e+15    1.78e+15    1.78e+15    1.78e+15 
 127    SA   2.89e+12    2.89e+13    2.89e+14    1.79e+15    1.79e+15    1.79e+15    1.79e+15 
 128    SA   2.89e+12    2.89e+13    2.89e+14    1.81e+15    1.81e+15    1.81e+15    1.81e+15 
 129    SA   2.89e+12    2.89e+13    2.89e+14    1.82e+15    1.82e+15    1.82e+15    1.82e+15 
 130    SA   2.89e+12    2.89e+13    2.89e+14    1.83e+15    1.83e+15    1.83e+15    1.83e+15 
 131    SA   2.89e+12    2.89e+13    2.89e+14    1.85e+15    1.85e+15    1.85e+15    1.85e+15 
 132    SA   2.89e+12    2.89e+13    2.89e+14    1.86e+15    1.86e+15    1.86e+15    1.86e+15 
 133    SA   2.89e+12    2.89e+13    2.89e+14    1.88e+15    1.88e+15    1.88e+15    1.88e+15 
 134    SA   2.89e+12    2.89e+13    2.89e+14    1.89e+15    1.89e+15    1.89e+15    1.89e+15 
 135    SA   2.89e+12    2.89e+13    2.89e+14    1.90e+15    1.90e+15    1.90e+15    1.90e+15 
 136    SA   2.89e+12    2.89e+13    2.89e+14    1.92e+15    1.92e+15    1.92e+15    1.92e+15 
 137    SA   2.89e+12    2.89e+13    2.89e+14    1.93e+15    1.93e+15    1.93e+15    1.93e+15 
 138    SA   2.89e+12    2.89e+13    2.89e+14    1.94e+15    1.94e+15    1.94e+15    1.94e+15 
 139    SA   2.89e+12    2.89e+13    2.89e+14    1.96e+15    1.96e+15    1.96e+15    1.96e+15 
 140    SA   2.89e+12    2.89e+13    2.89e+14    1.97e+15    1.97e+15    1.97e+15    1.97e+15 
 141    SA   2.89e+12    2.89e+13    2.89e+14    1.99e+15    1.99e+15    1.99e+15    1.99e+15 
 142    SA   2.89e+12    2.89e+13    2.89e+14    2.00e+15    2.00e+15    2.00e+15    2.00e+15 
 143    SA   2.89e+12    2.89e+13    2.89e+14    2.01e+15    2.01e+15    2.01e+15    2.01e+15 
 144    SA   2.89e+12    2.89e+13    2.89e+14    2.03e+15    2.03e+15    2.03e+15    2.03e+15 
 145    SA   2.89e+12    2.89e+13    2.89e+14    2.04e+15    2.04e+15    2.04e+15    2.04e+15 
 146    SA   2.89e+12    2.89e+13    2.89e+14    2.06e+15    2.06e+15    2.06e+15    2.06e+15 
 147    SA   2.89e+12    2.89e+13    2.89e+14    2.07e+15    2.07e+15    2.07e+15    2.07e+15 
 148    SA   2.89e+12    2.89e+13    2.89e+14    2.08e+15    2.08e+15    2.08e+15    2.08e+15 
 149    SA   2.89e+12    2.89e+13    2.89e+14    2.10e+15    2.10e+15    2.10e+15    2.10e+15 
 150    SA   2.89e+12    2.89e+13    2.89e+14    2.11e+15    2.11e+15    2.11e+15    2.11e+15 
 151    SA   2.89e+12    2.89e+13    2.89e+14    2.13e+15    2.13e+15    2.13e+15    2.13e+15 
 152    SA   2.89e+12    2.89e+13    2.89e+14    2.14e+15    2.14e+15    2.14e+15    2.14e+15 
 153    SA   2.89e+12    2.89e+13    2.89e+14    2.15e+15    2.15e+15    2.15e+15    2.15e+15 
 154    SA   2.89e+12    2.89e+13    2.89e+14    2.17e+15    2.17e+15    2.17e+15    2.17e+15 
 155    SA   2.89e+12    2.89e+13    2.89e+14    2.18e+15    2.18e+15    2.18e+15    2.18e+15 
 156    SA   2.89e+12    2.89e+13    2.89e+14    2.20e+15    2.20e+15    2.20e+15    2.20e+15 
 157    SA   2.89e+12    2.89e+13    2.89e+14    2.21e+15    2.21e+15    2.21e+15    2.21e+15 
 158    SA   2.89e+12    2.89e+13    2.89e+14    2.22e+15    2.22e+15    2.22e+15    2.22e+15 
 159    SA   2.89e+12    2.89e+13    2.89e+14    2.24e+15    2.24e+15    2.24e+15    2.24e+15 
 160    SA   2.89e+12    2.89e+13    2.89e+14    2.25e+15    2.25e+15    2.25e+15    2.25e+15 
 161    SA   2.89e+12    2.89e+13    2.89e+14    2.27e+15    2.27e+15    2.27e+15    2.27e+15 
 162    SA   2.89e+12    2.89e+13    2.89e+14    2.28e+15    2.28e+15    2.28e+15    2.28e+15 
 163    SA   2.89e+12    2.89e+13    2.89e+14    2.29e+15    2.29e+15    2.29e+15    2.29e+15 
 164    SA   2.89e+12    2.89e+13    2.89e+14    2.31e+15    2.31e+15    2.31e+15    2.31e+15 
 165    SA   2.89e+12    2.89e+13    2.89e+14    2.32e+15    2.32e+15    2.32e+15    2.32e+15 
 166    SA   2.89e+12    2.89e+13    2.89e+14    2.34e+15    2.34e+15    2.34e+15    2.34e+15 
 167    SA   2.89e+12    2.89e+13    2.89e+14    2.35e+15    2.35e+15    2.35e+15    2.35e+15 
 168    SA   2.89e+12    2.89e+13    2.89e+14    2.36e+15    2.36e+15    2.36e+15    2.36e+15 
 169    SA   2.89e+12    2.89e+13    2.89e+14    2.38e+15    2.38e+15    2.38e+15    2.38e+15 
 170    SA   2.89e+12    2.89e+13    2.89e+14    2.39e+15    2.39e+15    2.39e+15    2.39e+15 
 171    SA   2.89e+12    2.89e+13    2.89e+14    2.41e+15    2.41e+15    2.41e+15    2.41e+15 
 172    SA   2.89e+12    2.89e+13    2.89e+14    2.42e+15    2.42e+15    2.42e+15    2.42e+15 
 173    SA   2.89e+12    2.89e+13    2.89e+14    2.43e+15    2.43e+15    2.43e+15    2.43e+15 
 174    SA   2.89e+12    2.89e+13    2.89e+14    2.45e+15    2.45e+15    2.45e+15    2.45e+15 
 175    SA   2.89e+12    2.89e+13    2.89e+14    2.46e+15    2.46e+15    2.46e+15    2.46e+15 
 176    SA   2.89e+12    2.89e+13    2.89e+14    2.48e+15    2.48e+15    2.48e+15    2.48e+15 
 177    SA   2.89e+12    2.89e+13    2.89e+14    2.49e+15    2.49e+15    2.49e+15    2.49e+15 
 178    SA   2.89e+12    2.89e+13    2.89e+14    2.50e+15    2.50e+15    2.50e+15    2.50e+15 
 179    SA   2.89e+12    2.89e+13    2.89e+14    2.52e+15    2.52e+15    2.52e+15    2.52e+15 
 180    SA   2.89e+12    2.89e+13*   2.89e+14    2.53e+15    2.53e+15    2.53e+15    2.53e+15 
 181    SA   2.89e+12    2.89e+13    2.89e+14    2.55e+15    2.55e+15    2.55e+15    2.55e+15 
 182    SA   2.89e+12    2.89e+13    2.89e+14    2.56e+15    2.56e+15    2.56e+15    2.56e+15 
 183    SA   2.89e+12    2.89e+13    2.89e+14    2.57e+15    2.57e+15    2.57e+15    2.57e+15 
 184    SA   2.89e+12    2.89e+13    2.89e+14    2.59e+15    2.59e+15    2.59e+15    2.59e+15 
 185    SA   2.89e+12    2.89e+13    2.89e+14    2.60e+15    2.60e+15    2.60e+15    2.60e+15 
 186    SA   2.89e+12    2.89e+13    2.89e+14    2.62e+15    2.62e+15    2.62e+15    2.62e+15 
 187    SA   2.89e+12    2.89e+13    2.89e+14    2.63e+15    2.63e+15    2.63e+15    2.63e+15 
 188    SA   2.89e+12    2.89e+13    2.89e+14    2.64e+15    2.64e+15    2.64e+15    2.64e+15 
 189    SA   2.89e+12    2.89e+13    2.89e+14    2.66e+15    2.66e+15    2.66e+15    2.66e+15 
 190    SA   2.89e+12    2.89e+13    2.89e+14    2.67e+15    2.67e+15    2.67e+15    2.67e+15 
 191    SA   2.89e+12    2.89e+13    2.89e+14    2.69e+15    2.69e+15    2.69e+15    2.69e+15 
 192    SA   2.89e+12    2.89e+13    2.89e+14    2.70e+15    2.70e+15    2.70e+15    2.70e+15 
 193    SA   2.89e+12    2.89e+13    2.89e+14    2.71e+15    2.71e+15    2.71e+15    2.71e+15 
 194    SA   2.89e+12    2.89e+13    2.89e+14    2.73e+15    2.73e+15    2.73e+15    2.73e+15 
 195    SA   2.89e+12    2.89e+13    2.89e+14    2.74e+15    2.74e+15    2.74e+15    2.74e+15 
 196    SA   2.89e+12    2.89e+13    2.89e+14    2.76e+15    2.76e+15    2.76e+15    2.76e+15 
 197    SA   2.89e+12    2.89e+13    2.89e+14    2.77e+15    2.77e+15    2.77e+15    2.77e+15 
 198    SA   2.89e+12    2.89e+13    2.89e+14    2.78e+15    2.78e+15    2.78e+15    2.78e+15 
 199    SA   2.89e+12    2.89e+13    2.89e+14    2.80e+15    2.80e+15    2.80e+15    2.80e+15 
 200    SA   2.89e+12    2.89e+13    2.89e+14    2.81e+15    2.81e+15    2.81e+15    2.81e+15 
 201    SA   2.89e+12    2.89e+13    2.89e+14    2.83e+15    2.83e+15    2.83e+15    2.83e+15 
 202    SA   2.89e+12    2.89e+13    2.89e+14    2.84e+15    2.84e+15    2.84e+15    2.84e+15 
 203    SA   2.89e+12    2.89e+13    2.89e+14    2.85e+15    2.85e+15    2.85e+15    2.85e+15 
 204    SA   2.89e+12    2.89e+13    2.89e+14    2.87e+15    2.87e+15    2.87e+15    2.87e+15 
 205    SA   2.89e+12    2.89e+13    2.89e+14    2.88e+15    2.88e+15    2.88e+15    2.88e+15 
 206    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    2.90e+15    2.90e+15    2.90e+15 
 207    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    2.91e+15    2.91e+15    2.91e+15 
 208    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    2.92e+15    2.92e+15    2.92e+15 
 209    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    2.94e+15    2.94e+15    2.94e+15 
 210    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    2.95e+15    2.95e+15    2.95e+15 
 211    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    2.97e+15    2.97e+15    2.97e+15 
 212    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15*   2.98e+15    2.98e+15    2.98e+15 
 213    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    2.99e+15    2.99e+15    2.99e+15 
 214    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.01e+15    3.01e+15    3.01e+15 
 215    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.02e+15    3.02e+15    3.02e+15 
 216    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.04e+15    3.04e+15    3.04e+15 
 217    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.05e+15    3.05e+15    3.05e+15 
 218    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.06e+15    3.06e+15    3.06e+15 
 219    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.08e+15    3.08e+15    3.08e+15 
 220    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.09e+15    3.09e+15    3.09e+15 
 221    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.11e+15    3.11e+15    3.11e+15 
 222    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.12e+15    3.12e+15    3.12e+15 
 223    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.13e+15    3.13e+15    3.13e+15 
 224    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.15e+15    3.15e+15    3.15e+15 
 225    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.16e+15    3.16e+15    3.16e+15 
 226    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.18e+15    3.18e+15    3.18e+15 
 227    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.19e+15    3.19e+15    3.19e+15 
 228    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.20e+15    3.20e+15    3.20e+15 
 229    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.22e+15    3.22e+15    3.22e+15 
 230    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.23e+15    3.23e+15    3.23e+15 
 231    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.25e+15    3.25e+15    3.25e+15 
 232    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.26e+15    3.26e+15    3.26e+15 
 233    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.27e+15    3.27e+15    3.27e+15 
 234    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.29e+15    3.29e+15    3.29e+15 
 235    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.30e+15    3.30e+15    3.30e+15 
 236    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.32e+15    3.32e+15    3.32e+15 
 237    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.33e+15    3.33e+15    3.33e+15 
 238    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.34e+15    3.34e+15    3.34e+15 
 239    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.36e+15    3.36e+15    3.36e+15 
 240    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.37e+15    3.37e+15    3.37e+15 
 241    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.39e+15    3.39e+15    3.39e+15 
 242    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.40e+15    3.40e+15    3.40e+15 
 243    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.41e+15    3.41e+15    3.41e+15 
 244    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.43e+15    3.43e+15    3.43e+15 
 245    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.44e+15    3.44e+15    3.44e+15 
 246    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.46e+15    3.46e+15    3.46e+15 
 247    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.47e+15    3.47e+15    3.47e+15 
 248    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.48e+15    3.48e+15    3.48e+15 
 249    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.50e+15    3.50e+15    3.50e+15 
 250    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.51e+15    3.51e+15    3.51e+15 
 251    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.53e+15    3.53e+15    3.53e+15 
 252    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.54e+15    3.54e+15    3.54e+15 
 253    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.55e+15    3.55e+15    3.55e+15 
 254    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.57e+15    3.57e+15    3.57e+15 
 255    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.58e+15    3.58e+15    3.58e+15 
 256    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.60e+15    3.60e+15    3.60e+15 
 257    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.61e+15    3.61e+15    3.61e+15 
 258    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.62e+15    3.62e+15    3.62e+15 
 259    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.64e+15    3.64e+15    3.64e+15 
 260    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.65e+15    3.65e+15    3.65e+15 
 261    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.67e+15    3.67e+15    3.67e+15 
 262    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.68e+15    3.68e+15    3.68e+15 
 263    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.69e+15    3.69e+15    3.69e+15 
 264    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.71e+15    3.71e+15    3.71e+15 
 265    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.72e+15    3.72e+15    3.72e+15 
 266    SA   2.89e+12    2.89e+13    2.89e+14    2.89e+15    3.74e+15    3.74e+15    3.74e+15 
