
########## harmonic sweep :: nvm_100Mb ##########
   n       R  feas  bind    BW/SA   cap[bit]      N_SA  L_dsn  fits     BW_raw  pdens/Pmax  BW_thermal
 123  426.81     y    SA    0.224   3.84e+09   6.2e+07   8.14     y   1.74e+15    6.00e+02    2.89e+12
 124  426.81     y    SA    0.226   3.88e+09   6.2e+07   8.15     y   1.75e+15    6.05e+02    2.89e+12
 125  426.81     y    SA    0.227   3.91e+09   6.2e+07   8.15     y   1.76e+15    6.10e+02    2.89e+12
 126  426.81     y    SA    0.229   3.94e+09   6.2e+07   8.15     y   1.78e+15    6.15e+02    2.89e+12
 127  426.81     y    SA    0.231   3.97e+09   6.2e+07   8.15     y   1.79e+15    6.20e+02    2.89e+12
 128  426.81     y    SA    0.233      4e+09   6.2e+07   8.15     y   1.81e+15    6.25e+02    2.89e+12
 129  422.26     y    SA    0.235   4.03e+09   6.2e+07   9.15     y   1.82e+15    6.29e+02    2.89e+12
 130  422.26     y    SA    0.236   4.06e+09   6.2e+07   9.15     y   1.83e+15    6.34e+02    2.89e+12
 131  422.26     y    SA    0.238   4.09e+09   6.2e+07   9.15     y   1.85e+15    6.39e+02    2.89e+12
 132  422.26     y    SA     0.24   4.12e+09   6.2e+07   9.15     y   1.86e+15    6.44e+02    2.89e+12
 133  422.26     y    SA    0.242   4.16e+09   6.2e+07   9.16     y   1.88e+15    6.49e+02    2.89e+12
 134  422.26     y    SA    0.244   4.19e+09   6.2e+07   9.16     y   1.89e+15    6.54e+02    2.89e+12
 135  422.26     y    SA    0.245   4.22e+09   6.2e+07   9.16     y   1.90e+15    6.58e+02    2.89e+12
 136  422.26     y    SA    0.247   4.25e+09   6.2e+07   9.16     y   1.92e+15    6.63e+02    2.89e+12
 137  422.26     y    SA    0.249   4.28e+09   6.2e+07   9.16     y   1.93e+15    6.68e+02    2.89e+12
 138  422.26     y    SA    0.251   4.31e+09   6.2e+07   9.16     y   1.94e+15    6.73e+02    2.89e+12
 139  422.26     y    SA    0.253   4.34e+09   6.2e+07   9.16     y   1.96e+15    6.78e+02    2.89e+12
 140  422.26     y    SA    0.255   4.37e+09   6.2e+07   9.16     y   1.97e+15    6.83e+02    2.89e+12
 141  422.26     y    SA    0.256    4.4e+09   6.2e+07   9.17     y   1.99e+15    6.88e+02    2.89e+12
 142  422.26     y    SA    0.258   4.43e+09   6.2e+07   9.17     y   2.00e+15    6.92e+02    2.89e+12
 143  422.26     y    SA     0.26   4.47e+09   6.2e+07   9.17     y   2.01e+15    6.97e+02    2.89e+12
 144  422.26     y    SA    0.262    4.5e+09   6.2e+07   9.17     y   2.03e+15    7.02e+02    2.89e+12
 145  422.26     y    SA    0.264   4.53e+09   6.2e+07   9.17     y   2.04e+15    7.07e+02    2.89e+12
 146  422.26     y    SA    0.265   4.56e+09   6.2e+07   9.17     y   2.06e+15    7.12e+02    2.89e+12
 147  422.26     y    SA    0.267   4.59e+09   6.2e+07   9.17     y   2.07e+15    7.17e+02    2.89e+12
 148  422.26     y    SA    0.269   4.62e+09   6.2e+07   9.17     y   2.08e+15    7.21e+02    2.89e+12
 149  422.26     y    SA    0.271   4.65e+09   6.2e+07   9.17     y   2.10e+15    7.26e+02    2.89e+12
 150  422.26     y    SA    0.273   4.68e+09   6.2e+07   9.18     y   2.11e+15    7.31e+02    2.89e+12
 151  422.26     y    SA    0.274   4.71e+09   6.2e+07   9.18     y   2.13e+15    7.36e+02    2.89e+12
 152  422.26     y    SA    0.276   4.74e+09   6.2e+07   9.18     y   2.14e+15    7.41e+02    2.89e+12
 153  422.26     y    SA    0.278   4.78e+09   6.2e+07   9.18     y   2.15e+15    7.46e+02    2.89e+12
 154  422.26     y    SA     0.28   4.81e+09   6.2e+07   9.18     y   2.17e+15    7.50e+02    2.89e+12
 155  422.26     y    SA    0.282   4.84e+09   6.2e+07   9.18     y   2.18e+15    7.55e+02    2.89e+12
 156  422.26     y    SA    0.283   4.87e+09   6.2e+07   9.18     y   2.20e+15    7.60e+02    2.89e+12
 157  422.26     y    SA    0.285    4.9e+09   6.2e+07   9.18     y   2.21e+15    7.65e+02    2.89e+12
 158  422.26     y    SA    0.287   4.93e+09   6.2e+07   9.18     y   2.22e+15    7.70e+02    2.89e+12
 159  422.26     y    SA    0.289   4.96e+09   6.2e+07   9.19     y   2.24e+15    7.75e+02    2.89e+12
 160  422.26     y    SA    0.291   4.99e+09   6.2e+07   9.19     y   2.25e+15    7.80e+02    2.89e+12
 161  422.26     y    SA    0.292   5.02e+09   6.2e+07   9.19     y   2.27e+15    7.84e+02    2.89e+12
 162  422.26     y    SA    0.294   5.05e+09   6.2e+07   9.19     y   2.28e+15    7.89e+02    2.89e+12
 163  422.26     y    SA    0.296   5.09e+09   6.2e+07   9.19     y   2.29e+15    7.94e+02    2.89e+12
 164  422.26     y    SA    0.298   5.12e+09   6.2e+07   9.19     y   2.31e+15    7.99e+02    2.89e+12
 165  422.26     y    SA      0.3   5.15e+09   6.2e+07   9.19     y   2.32e+15    8.04e+02    2.89e+12
 166  422.26     y    SA    0.301   5.18e+09   6.2e+07   9.19     y   2.34e+15    8.09e+02    2.89e+12
 167  422.26     y    SA    0.303   5.21e+09   6.2e+07   9.20     y   2.35e+15    8.13e+02    2.89e+12
 168  422.26     y    SA    0.305   5.24e+09   6.2e+07   9.20     y   2.36e+15    8.18e+02    2.89e+12
 169  422.26     y    SA    0.307   5.27e+09   6.2e+07   9.20     y   2.38e+15    8.23e+02    2.89e+12
 170  422.26     y    SA    0.309    5.3e+09   6.2e+07   9.20     y   2.39e+15    8.28e+02    2.89e+12
 171  422.26     y    SA     0.31   5.33e+09   6.2e+07   9.20     y   2.41e+15    8.33e+02    2.89e+12
 172  422.26     y    SA    0.312   5.36e+09   6.2e+07   9.20     y   2.42e+15    8.38e+02    2.89e+12
 173  422.26     y    SA    0.314    5.4e+09   6.2e+07   9.20     y   2.43e+15    8.42e+02    2.89e+12
 174  422.26     y    SA    0.316   5.43e+09   6.2e+07   9.20     y   2.45e+15    8.47e+02    2.89e+12
 175  422.26     y    SA    0.318   5.46e+09   6.2e+07   9.20     y   2.46e+15    8.52e+02    2.89e+12
 176  422.26     y    SA    0.319   5.49e+09   6.2e+07   9.21     y   2.48e+15    8.57e+02    2.89e+12
 177  422.26     y    SA    0.321   5.52e+09   6.2e+07   9.21     y   2.49e+15    8.62e+02    2.89e+12
 178  422.26     y    SA    0.323   5.55e+09   6.2e+07   9.21     y   2.50e+15    8.67e+02    2.89e+12
 179  422.26     y    SA    0.325   5.58e+09   6.2e+07   9.21     y   2.52e+15    8.72e+02    2.89e+12
 180  422.26     y    SA    0.327   5.61e+09   6.2e+07   9.21     y   2.53e+15    8.76e+02    2.89e+12
 181  422.26     y    SA    0.329   5.64e+09   6.2e+07   9.21     y   2.55e+15    8.81e+02    2.89e+12
 182  422.26     y    SA     0.33   5.67e+09   6.2e+07   9.21     y   2.56e+15    8.86e+02    2.89e+12
 183  422.26     y    SA    0.332   5.71e+09   6.2e+07   9.21     y   2.57e+15    8.91e+02    2.89e+12
 184  422.26     y    SA    0.334   5.74e+09   6.2e+07   9.22     y   2.59e+15    8.96e+02    2.89e+12
 185  422.26     y    SA    0.336   5.77e+09   6.2e+07   9.22     y   2.60e+15    9.01e+02    2.89e+12
 186  422.26     y    SA    0.338    5.8e+09   6.2e+07   9.22     y   2.62e+15    9.05e+02    2.89e+12
 187  422.26     y    SA    0.339   5.83e+09   6.2e+07   9.22     y   2.63e+15    9.10e+02    2.89e+12
 188  422.26     y    SA    0.341   5.86e+09   6.2e+07   9.22     y   2.64e+15    9.15e+02    2.89e+12
 189  422.26     y    SA    0.343   5.89e+09   6.2e+07   9.22     y   2.66e+15    9.20e+02    2.89e+12
 190  422.26     y    SA    0.345   5.92e+09   6.2e+07   9.22     y   2.67e+15    9.25e+02    2.89e+12
 191  422.26     y    SA    0.347   5.95e+09   6.2e+07   9.22     y   2.69e+15    9.30e+02    2.89e+12
 192  422.26     y    SA    0.348   5.98e+09   6.2e+07   9.22     y   2.70e+15    9.34e+02    2.89e+12
 193  422.26     y    SA     0.35   6.02e+09   6.2e+07   9.23     y   2.71e+15    9.39e+02    2.89e+12
